Claims,Key Points
Every Democrat on the Energy and Commerce Committee blocked Steve Scalise's amendment to require New York to turn over all the data on nursing home deaths or have a temporary decrease of the Federal Medical Assistance Percentage,"{'main': ""Every Democrat on the Energy and Commerce Committee blocked Steve Scalise's amendment to require New York to turn over all the data on nursing home deaths or have a temporary decrease of the Federal Medical Assistance Percentage"", 'combined': [""Democrats on the Energy and Commerce Committee blocked Steve Scalise's amendment, which aimed to obtain New York's nursing home death data."", 'Blocking the amendment meant New York would not have to turn over the data, avoiding a potential penalty.'], 'single': ['Democrats on the Energy and Commerce Committee blocked an amendment', 'The amendment was proposed by Steve Scalise', 'The amendment required New York to turn over nursing home death data or face a penalty']}"
Meat packing workers have suffered more COVID-19 cases than health care workers.,"{'main': 'Meat packing workers have suffered more COVID-19 cases than health care workers.', 'combined': [], 'single': ['Meat packing workers have suffered a high number of COVID-19 cases.', 'Health care workers have suffered a relatively lower number of COVID-19 cases compared to meat packing workers.']}"
South African hospital found that traces of the novel coronavirus had survived on the surface of fresh food items for 12 hours during lab tests.,"{'main': 'South African hospital found that traces of the novel coronavirus had survived on the surface of fresh food items for 12 hours during lab tests.', 'combined': [""The South African hospital's lab tests showed that traces of the novel coronavirus survived on the surface of fresh food items for 12 hours.""], 'single': ['A South African hospital conducted lab tests on the novel coronavirus.', 'Traces of the novel coronavirus survived on the surface of fresh food items.', 'The traces of the novel coronavirus survived for 12 hours.']}"
"Pfizer is “managed by Black Rock (sic) finances. Who, by chance, manages the finances of the Open Foundation Company (SOROS FOUNDATION)!","{'main': 'Pfizer is “managed by Black Rock (sic) finances. Who, by chance, manages the finances of the Open Foundation Company (SOROS FOUNDATION)!', 'combined': ['Pfizer and the Soros Foundation have a common financial manager, BlackRock.'], 'single': ['Pfizer is managed by BlackRock finances.', 'BlackRock manages the finances of the Open Foundation Company (Soros Foundation).']}"
"The Chinese biological laboratory in Wuhan is owned by Glaxo. Who, by chance, owns Pfizer (the one who produces the vaccine!","{'main': 'The Chinese biological laboratory in Wuhan is owned by Glaxo. Who, by chance, owns Pfizer (the one who produces the vaccine!', 'combined': ['Glaxo, the owner of the Chinese biological laboratory in Wuhan, also owns Pfizer, the producer of the vaccine.', ""The Chinese biological laboratory in Wuhan, owned by Glaxo, has a connection to Pfizer, the vaccine producer, through Glaxo's ownership.""], 'single': ['The Chinese biological laboratory in Wuhan is owned by Glaxo.', 'Glaxo owns Pfizer.', 'Pfizer produces the vaccine.']}"
"Vanguard is a ""shareholder of BlackRock... which, incidentally, is a major shareholder of Microsoft The property of Bill Gates, who owns Pfizer (the company that sells the miracle vaccine) and is currently the first sponsor of WHO.","{'main': 'Vanguard is a ""shareholder of BlackRock... which, incidentally, is a major shareholder of Microsoft The property of Bill Gates, who owns Pfizer (the company that sells the miracle vaccine) and is currently the first sponsor of WHO.', 'combined': ['Vanguard has an indirect stake in Microsoft through its shareholding in BlackRock.', 'Bill Gates, as the owner of Pfizer and a major sponsor of WHO, has significant influence in the vaccine industry and global health policy.'], 'single': ['Vanguard is a shareholder of BlackRock.', 'BlackRock is a major shareholder of Microsoft.', 'Bill Gates owns Pfizer, the company that sells the miracle vaccine.', 'Bill Gates is currently the first sponsor of WHO.']}"
The Trump administration built the greatest economy in the history of the world.,"{'main': 'The Trump administration built the greatest economy in the history of the world.', 'combined': [], 'single': ['The Trump administration built the economy.', 'It is the greatest economy in the history of the world.']}"
Ruth Bader Ginsburg was nominated and confirmed 43 days before an election,"{'main': 'Ruth Bader Ginsburg was nominated and confirmed 43 days before an election', 'combined': ['Ruth Bader Ginsburg was nominated and confirmed within a specific timeframe, namely 43 days before an election'], 'single': ['Ruth Bader Ginsburg was nominated', 'Ruth Bader Ginsburg was confirmed', 'The confirmation occurred 43 days before an election']}"
"Wildfires raging through California are due to poor land management, not climate change.","{'main': 'Wildfires raging through California are due to poor land management, not climate change.', 'combined': ['Poor land management, rather than climate change, is the primary factor driving wildfires in California.'], 'single': ['Wildfires in California are caused by poor land management.', 'Poor land management is the primary factor contributing to wildfires in California.', 'Climate change is not the main cause of wildfires in California.']}"
"Luc Montagnier, French virologist and 2008 Nobel Prize winner in Medicine, said that COVID-19 was artificially created in a lab by biologists due to its signature similarity to the AIDS virus","{'main': 'Luc Montagnier, French virologist and 2008 Nobel Prize winner in Medicine, said that COVID-19 was artificially created in a lab by biologists due to its signature similarity to the AIDS virus', 'combined': ['Luc Montagnier, a credible expert in virology, claims that COVID-19 was artificially created in a lab by biologists.', ""COVID-19's similarity to the AIDS virus suggests its artificial creation in a lab.""], 'single': ['Luc Montagnier is a French virologist and 2008 Nobel Prize winner in Medicine.', 'COVID-19 was artificially created in a lab by biologists according to Luc Montagnier.', 'COVID-19 has a signature similarity to the AIDS virus.']}"
"5G millimeter waves could be absorbed by skin cells acting as antennas, transferred to other cells and play the main role in producing coronaviruses in biological cells.","{'main': '5G millimeter waves could be absorbed by skin cells acting as antennas, transferred to other cells and play the main role in producing coronaviruses in biological cells.', 'combined': ['5G millimeter waves can be absorbed by skin cells acting as antennas, which can then transfer the waves to other cells.', 'Absorbed 5G millimeter waves can be transferred to other cells, leading to the production of coronaviruses in biological cells.'], 'single': ['5G millimeter waves could be absorbed by skin cells', 'Skin cells can act as antennas', 'Absorbed waves can be transferred to other cells', 'Transferred waves can play a role in producing coronaviruses in biological cells']}"
"Several circulating links  allow users to click on them and register for Indian government’s flagship National Health Policy scheme, called, Ayushman Bharat.","{'main': 'Several circulating links  allow users to click on them and register for Indian government’s flagship National Health Policy scheme, called, Ayushman Bharat.', 'combined': ['Several circulating links allow users to click on them to register for the Indian government’s flagship National Health Policy scheme'], 'single': ['Several circulating links allow users to click on them', 'the links are for registering for the Indian government’s flagship National Health Policy scheme', 'the scheme is called Ayushman Bharat']}"
"A Facebook post credits Microsoft co-founder Bill Gates with saying, “I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.”","{'main': 'A Facebook post credits Microsoft co-founder Bill Gates with saying, “I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.”', 'combined': [""Bill Gates' quote implies that a lazy person's tendency to find an easy way out can be leveraged to discover innovative solutions for complex tasks.""], 'single': ['Bill Gates is credited with saying a quote about choosing a lazy person for a hard job.', 'A lazy person will find an easy way to do a hard job.', 'The quote suggests that laziness can lead to innovative solutions.']}"
Alexei Navanly has been arrested in Russia.,"{'main': 'Alexei Navanly has been arrested in Russia.', 'combined': [], 'single': ['Alexei Navalny has been arrested.', 'He was arrested in Russia.']}"
COVID 19 bacteria is caused due to 5g electromagnetic radiation.,"{'main': 'COVID 19 bacteria is caused due to 5g electromagnetic radiation.', 'combined': [], 'single': ['COVID-19 is caused by bacteria', '5G electromagnetic radiation is the cause of COVID-19']}"
Covid19 is a bacteria,"{'main': 'Covid19 is a bacteria', 'combined': [], 'single': ['Covid19 is a type of microorganism', 'Covid19 is not a virus']}"
COVID 19 can be cured by antibiotics,"{'main': 'COVID 19 can be cured by antibiotics', 'combined': ['Since COVID-19 is a viral infection and antibiotics are ineffective against viral infections, antibiotics cannot cure COVID-19.'], 'single': ['COVID-19 is a viral infection.', 'Antibiotics are ineffective against viral infections.', 'Antibiotics are only effective against bacterial infections.']}"
COVID 19 patients don’t need intensive care or ventilators.,"{'main': 'COVID 19 patients don’t need intensive care or ventilators.', 'combined': ['Since most COVID-19 cases are mild or moderate, patients can recover without intensive care.', 'Given that ventilators are not necessary for COVID-19 treatment, most patients can recover without them.'], 'single': ['COVID-19 patients can recover without intensive care.', 'Ventilators are not necessary for COVID-19 treatment.', 'Most COVID-19 cases are mild or moderate.']}"
COVID 19 is a thrombosis,"{'main': 'COVID 19 is a thrombosis', 'combined': [""COVID-19's association with a high risk of thrombotic events is partly due to the triggering of a hypercoagulable state, leading to thrombus formation."", 'Severe COVID-19 cases are prone to thrombotic complications, which can be attributed to the hypercoagulable state induced by the virus.'], 'single': ['COVID-19 is associated with a high risk of thrombotic events.', 'Thrombosis is a common complication in severe COVID-19 cases.', 'COVID-19 triggers a hypercoagulable state, leading to thrombus formation.']}"
COVID-19 can be cured in one day.,"{'main': 'COVID-19 can be cured in one day.', 'combined': [], 'single': ['COVID-19 can be cured', 'cure is possible in a short duration', 'a specific duration of one day is achievable']}"
France24 encouraging Niger Delta militants to fight for their right to equity in resource sharing.,"{'main': 'France24 encouraging Niger Delta militants to fight for their right to equity in resource sharing.', 'combined': [""France24 is promoting the Niger Delta militants' struggle for resource sharing equity by encouraging them to fight for their rights.""], 'single': ['France24 is encouraging Niger Delta militants', 'The encouragement is to fight for their rights', 'The rights in question are related to equity in resource sharing']}"
Left-wing activist John Sullivan incited the insurgence of the US Capitol,"{'main': 'Left-wing activist John Sullivan incited the insurgence of the US Capitol', 'combined': [], 'single': ['John Sullivan is a left-wing activist.', 'He incited the insurgence of the US Capitol.']}"
"Mark Tully wrote about PM ""Modi destroying termite ridden old Banyan tree"".","{'main': 'Mark Tully wrote about PM ""Modi destroying termite ridden old Banyan tree"".', 'combined': [], 'single': ['Mark Tully wrote about PM Modi', 'PM Modi is compared to destroying a termite ridden old Banyan tree']}"
